Feature,Importance
FP_1855,0.00092990656
FP_507,0.000923531
FP_674,0.0009157307
NumAliphaticCarbocycles,0.0009089803
FP_1673,0.0009088252
FP_227,0.000904297
FP_1039,0.0008999203
FP_1854,0.0008984577
FP_1,0.00088330614
FP_1844,0.00088243897
FP_1070,0.0008811021
FP_1339,0.0008764521
FP_1607,0.0008675159
FP_1362,0.00085537037
FP_69,0.0008532792
FP_1697,0.00083020434
FP_1921,0.0008294553
FP_193,0.00081529556
FP_961,0.00079494214
FP_785,0.0007768262
FP_489,0.00077333045
FP_1631,0.0007722989
FP_585,0.0007653209
FP_1057,0.0007530861
FP_984,0.0007527811
FP_251,0.00074355415
FP_222,0.0007397272
FP_1691,0.0007360496
FP_1536,0.00072009576
FP_1866,0.0007200172
FP_1004,0.0007138278
FP_1349,0.00070791284
FP_913,0.00070521294
FP_1696,0.00070512766
FP_1416,0.0007005274
FP_1724,0.00069941656
FP_81,0.00069846545
FP_202,0.0006878323
FP_1447,0.0006767906
FP_1950,0.0006759022
FP_1267,0.00067400484
FP_1911,0.0006631986
FP_1308,0.0006594177
FP_1722,0.00065018504
FP_1109,0.0006437837
FP_1022,0.0006396181
FP_1063,0.00063671806
FP_1860,0.0006280573
FP_1087,0.00061753247
FP_1385,0.00061595195
FP_728,0.00060021
FP_1059,0.0005968664
FP_608,0.0005958954
FP_690,0.0005958447
FP_1582,0.0005944232
FP_18,0.0005929973
FP_197,0.0005881748
FP_592,0.00058579864
FP_562,0.0005740409
FP_94,0.0005568219
FP_366,0.0005560925
FP_1840,0.00054531975
FP_1184,0.00054367294
FP_1814,0.00054200256
FP_548,0.0005405261
FP_1027,0.000539779
FP_381,0.0005339226
FP_1896,0.0005332079
FP_354,0.0005198351
FP_1940,0.0005164074
FP_1269,0.00051330257
FP_249,0.0005011918
FP_1096,0.00049555616
FP_52,0.0004929895
FP_981,0.00048352437
FP_1369,0.0004792238
FP_1452,0.0004785173
FP_1353,0.00047354566
FP_1597,0.0004727824
NumUnspecifiedStereocenters,0.00047262755
FP_1313,0.00047049185
FP_216,0.00046500197
FP_769,0.00045926118
FP_1402,0.00045803748
FP_113,0.00045439682
FP_695,0.00045044385
FP_1370,0.00043516027
FP_1143,0.00043052214
FP_1964,0.00041745708
FP_2012,0.00041554554
FP_745,0.0004010138
MQN33,0.00039891314
FP_1019,0.00039449602
FP_325,0.00039364983
FP_1808,0.00038653644
FP_1187,0.00037674056
FP_835,0.00037231477
FP_1999,0.00033578184
FP_1738,0.00033459932
FP_875,0.00032386658
FP_1257,0.00032220164
FP_896,0.00031264988
FP_881,0.00030863137
FP_252,0.00030803622
FP_102,0.00029651148
FP_1538,0.00029544998
NumSaturatedHeterocycles,0.0002946185
FP_1804,0.00029210615
FP_794,0.00026145094
FP_231,0.0002573721
FP_1791,0.00025335848
FP_1754,0.0002511825
FP_84,0.00024145082
FP_463,0.0002301336
FP_888,0.00021807144
FP_1236,0.00021460955
FP_1653,0.00021153092
FP_34,0.00020683145
FP_1420,0.0002057918
FP_691,0.00018132717
FP_491,0.00017080987
FP_31,0.00014129996
FP_1028,0.00012212286
FP_237,0.00011303951
FP_1992,0.00011011332
FP_1905,8.566117e-05
FP_598,6.987411e-05
NumSaturatedCarbocycles,6.7593566e-05
FP_1734,6.7151836e-05
FP_1875,5.877297e-05
FP_414,2.964751e-05
FP_1951,2.4270705e-05
FP_1750,2.2688182e-05
FP_127,0.0
FP_2033,0.0
FP_1720,0.0
FP_1955,0.0
FP_1649,0.0
FP_1687,0.0
FP_164,0.0
FP_1700,0.0
FP_1665,0.0
FP_14,0.0
FP_151,0.0
FP_128,0.0
FP_1680,0.0
FP_1683,0.0
FP_1726,0.0
FP_1984,0.0
FP_1733,0.0
FP_97,0.0
FP_67,0.0
FP_1985,0.0
FP_43,0.0
FP_1989,0.0
FP_1990,0.0
FP_1832,0.0
FP_1831,0.0
FP_1823,0.0
FP_1818,0.0
FP_1920,0.0
FP_1980,0.0
FP_1960,0.0
FP_126,0.0
FP_9,0.0
FP_24,0.0
FP_1965,0.0
FP_1799,0.0
MQN42,0.0
FP_1781,0.0
FP_1778,0.0
FP_104,0.0
FP_1996,0.0
FP_1997,0.0
FP_119,0.0
FP_180,0.0
FP_809,0.0
FP_184,0.0
FP_1617,0.0
FP_1043,0.0
FP_668,0.0
FP_664,0.0
FP_656,0.0
FP_651,0.0
FP_1077,0.0
FP_1086,0.0
FP_628,0.0
FP_1097,0.0
FP_1128,0.0
FP_1136,0.0
FP_582,0.0
FP_1154,0.0
FP_1160,0.0
FP_1163,0.0
FP_1168,0.0
FP_561,0.0
FP_1190,0.0
FP_541,0.0
FP_680,0.0
FP_1034,0.0
FP_1024,0.0
FP_781,0.0
FP_841,0.0
FP_808,0.0
FP_802,0.0
FP_862,0.0
FP_885,0.0
FP_890,0.0
FP_906,0.0
FP_909,0.0
FP_915,0.0
FP_684,0.0
FP_926,0.0
FP_750,0.0
FP_736,0.0
FP_947,0.0
FP_950,0.0
FP_953,0.0
FP_960,0.0
FP_716,0.0
MQN5,0.0
FP_1209,0.0
FP_1214,0.0
FP_1554,0.0
FP_205,0.0
FP_1495,0.0
FP_204,0.0
FP_1522,0.0
FP_1535,0.0
FP_203,0.0
FP_1550,0.0
FP_1551,0.0
FP_1570,0.0
FP_1475,0.0
FP_1583,0.0
FP_1592,0.0
FP_191,0.0
FP_1599,0.0
FP_190,0.0
FP_1603,0.0
FP_1604,0.0
FP_1609,0.0
FP_1480,0.0
FP_1457,0.0
FP_427,0.0
FP_1328,0.0
FP_1243,0.0
FP_1252,0.0
FP_407,0.0
FP_1260,0.0
FP_406,0.0
FP_394,0.0
FP_1295,0.0
FP_353,0.0
FP_349,0.0
FP_1456,0.0
FP_339,0.0
FP_333,0.0
FP_275,0.0
FP_255,0.0
FP_1410,0.0
FP_1415,0.0
FP_1417,0.0
FP_1453,0.0
FP_1045,0.0
