CAS,Chemical name,Latin name,Trophic Level,Effect,Effect value,Unit,Test type,Test statistic,Duration,Duration (days),Effect is 5X above water solubility,Source,version,SMILES
53861,Indomethacin;[1-(4-Chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]acetic acid,Oryzias latipes,FISH,Mortality,81.9,mg/L,A,LC50,96 hours,4,1,"Kim,J.W., H. Ishibashi, R. Yamauchi, N. Ichikawa, Y. Takao, M. Hirano, M. Koga, and K. Arizono, . Acute Toxicity of Pharmaceutical and Personal Care Products on Freshwater Crustacean (Thamnocephalus platyurus) and Fish (Oryzias latipes)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/53861/property/IsomericSMILES/JSON
54115,Nicotine;3-[(2S)-1-Methylpyrrolidin-2-yl]pyridine,Lepomis macrochirus,FISH,Mortality,5.45,mg/L,A,LC50,96 hours,4,0,"U.S. Environmental Protection Agency, and Office of Pesticide Programs. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/54115/property/IsomericSMILES/JSON
54217,Sodium salicylate;Sodium 2-hydroxybenzoate,Pimephales promelas,FISH,Mortality,2160.0,mg/L,A,LC50,96 hours,4,0,"Geiger, D.L., C.E. Northcott, D.J. Call, and L.T. Brooke, 1985. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Vol. 2, Ctr.for Lake Superior Environ.Stud., Univ.of Wisconsin-Superior, Superior, WI :326 p.",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/54217/property/IsomericSMILES/JSON
55185,"N-Nitrosodiethylamine;N,N-Diethylnitrous amide",Pimephales promelas,FISH,Mortality,775.0,mg/L,A,LC50,96 hours,4,0,"Draper Iii, A.C., and W.S. Brewer, 1979. Measurement of the Aquatic Toxicity of Volatile Nitrosamines, J.Toxicol.Environ.Health 5:985-993",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/55185/property/IsomericSMILES/JSON
55378,"Phosphorothioic acid, O-[3,5-dimethyl-4-(methylthio)phenyl] O,O-dimethyl ester;O-[3,5-Dimethyl-4-(methylsulfanyl)phenyl] O,O-dimethyl phosphorothioate",Oncorhynchus mykiss,FISH,Mortality,0.32,mg/L,A,LC50,96 hours,4,0,"Cope, O. B. (1965). Sport fishery investigations. US. Fish Wildlife Serv. Circular, (226), 51-63.",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/55378/property/IsomericSMILES/JSON
55389,"Fenthion;O,O-Dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate",Oncorhynchus mykiss,FISH,Mortality,0.76,mg/L,A,LC50,96 hours,4,0,"Cope, O. B. (1965). Sport fishery investigations. US. Fish Wildlife Serv. Circular, (226), 51-63.",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/55389/property/IsomericSMILES/JSON
55630,"Trinitroglycerin;Propane-1,2,3-triyl trinitrate",Pimephales promelas,FISH,Mortality,2.1,mg/L,A,LC50,96 hours,4,0,"Bentley, R.E., J.W. Dean, S.J. Ells, G.A. LeBlanc, S. Sauter, K.S. Buxton, and B.H. Sleight III, 1978. Laboratory Evaluation of the Toxicity of Nitroglycerine to Aquatic Organisms, U.S.Army Medical Res.Develop.Command, Washington, D.C.:82 p.(U.S.NTIS AD-A061739)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/55630/property/IsomericSMILES/JSON
55867,Nitrogen mustard hydrochloride;2-Chloro-N-(2-chloroethyl)-N-methylethan-1-amine--hydrogen chloride (1/1),Pimephales promelas,FISH,Mortality,98.3,mg/L,A,LC50,96 hours,4,0,"Lan,C.H., T.S. Lin, and C.Y. Peng, . Aquatic Toxicity of Nitrogen Mustard to Ceriodaphina dubia, Daphnia magna, and Pimephales promelas",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/55867/property/IsomericSMILES/JSON
56235,Carbon tetrachloride;Tetrachloromethane,Pimephales promelas,FISH,Mortality,10.4,mg/L,A,LC50,96 hours,4,0,"Brooke,L.. Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56235/property/IsomericSMILES/JSON
56359,Bis(tributyltin)oxide;Hexabutyldistannoxane,Oreochromis niloticus,FISH,Mortality,0.0163,mg/L,A,LC50,96 hours,4,0,"Alkhail,A.R.A.A., A.I. Askar, L.K. Younis, K.S. El-Gendy, M.M. Abbas, and A.S.M. Marei, . Risk Assessment of Tributyltin Oxide in Aquatic Environment:  A. Toxicity and Sublethal Effects on Brain AChE and Gill ATPases Activity of Tilapia Fish, Oreochromis",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56359/property/IsomericSMILES/JSON
