model,auc_roc,accuracy,precision,recall,sensitivity,specificity,f1
Classical: LightGBM,0.8321098253909004,0.7724358974358975,0.7777777777777778,0.6950354609929078,,0.8362573099415205,0.7340823970037453
Classical: GradientBoosting,0.8302019824976152,0.7628205128205128,0.7518796992481203,0.7092198581560284,,0.8070175438596491,0.7299270072992701
Classical: XGBoost,0.8284600389863547,0.7852564102564102,0.7846153846153846,0.723404255319149,,0.8362573099415205,0.7527675276752768
CGCNN,0.8132387706855791,0.7467948717948718,0.7627118644067796,,0.6382978723404256,0.8362573099415205,0.694980694980695
SimpleGNN,0.7990128986769524,0.7307692307692307,0.7111111111111111,,0.6808510638297872,0.7719298245614035,0.6956521739130435
LSTM,0.7549251379038614,0.7051282051282052,0.6737588652482269,,0.6737588652482269,0.7309941520467836,0.6737588652482269
