model,auc_roc,accuracy,precision,recall,sensitivity,specificity,f1
Classical: ExtraTrees,0.8953695652173913,0.8162790697674419,0.8418079096045198,0.745,,0.8782608695652174,0.7904509283819628
Classical: GradientBoosting,0.894,0.813953488372093,0.8488372093023255,0.73,,0.8869565217391304,0.7849462365591398
Classical: RandomForest,0.8907608695652175,0.8116279069767441,0.8361581920903954,0.74,,0.8739130434782608,0.7851458885941645
ChemBERTa-DL,0.8581304347826086,0.772093023255814,0.875,,0.595,0.9260869565217391,0.7083333333333334
ChemBERTa-MLM,0.8554130434782609,0.786046511627907,0.7727272727272727,,0.765,0.8043478260869565,0.7688442211055276
ChemBERTa-MTR,0.8461739130434782,0.7906976744186046,0.8125,,0.715,0.8565217391304348,0.7606382978723404
